id,tweet,label2,label
1,whats that on the doorstep? another videotape?! and jugheads singing about it?! what is happening??? a new episod,positive,2
10,who was royal copeland? its not happening. .,neutral,1
100,"to date, about two dozen indonesian doctors have died, along with nurses. so, the chances of indonesia coping with",neutral,1
1000,because right now...you dont have much of a choice ,neutral,1
1001,hypocrisy: british govt sought out business opportunities in chinas wet markets as public health body warned bri,neutral,1
1002,margaret atwood: covid-19 lockdown is not a dystopia,neutral,1
1003,quarantine really got yall social media hoes prospering lmaooooo,positive,2
1004,this can only be seen in . racism against blacks and mostly africans still exists much in china. this is an e,neutral,1
1005,hey im a university prof with leukemia. you think its an appetizing opportunity for me to go to school so,positive,2
1006,"in other news, the genius of phoenix! since we have governors over stepping &amp; violating our civil rights during t",negative,0
1007,i just read a post on fb that corona makes people not want to have sex and decreased libido is a symptom so i am so,positive,2
1008,"if you want to know whats happening here, im competing with joe biden to see who can make the least sense!!!",positive,2
1009,": gov. phil murphy announces ,391 new cases of in , additional deaths",neutral,1
101,not really. china only owns around trillion of our debt. most of it,negative,0
1010,wondering what to do in quarantine? check out this post on activities you can do at home.,neutral,1
1011,i picked a flea off iggly and he was like aw man i lost my flea and i was like ????? so i talked to him again,positive,2
1012,months of downplaying the coronavirus have now turned into weeks of blame-shifting.,negative,0
1013,"are you a peep purist? during this pandemic, we feel as though not enough attention is being paid to this age-old",neutral,1
1014,we have a government that has decided to kill people tomorrow to avoid bad headlines today. its that simple. and,negative,0
1015,"looking for a great lunch today?! salad is great of course, but they have sandwiches, sides and soup too! matt pi",positive,2
1016,i still cant believe doctor who let this character happen,neutral,1
1017,leahy: withholding funds for who in the midst of the worst pandemic in a century makes as much sense as cutting o,negative,0
1018,must read on why even good policymakers might misjudge forecasts on covid-19 policy,positive,2
1019,the nelson mandela bay stadium has been identified as an isolation site to treat covid-19 patients. bay acting mayo,neutral,1
102,louis vuitton has transformed its france workshop into a face mask factory,neutral,1
1020,"theres two things lex forgot to tell you about me: i dont care what happens to the world, and i dont play nice with others!",positive,2
1021,charity shops are being encouraged to apply for business grants. for information about financial support during the,positive,2
1022,we might see updated modelling figures next week.,neutral,1
1023,bears take back yosemite national park during coronavirus pandemic,neutral,1
1024,"its a fine line though. one has a lofty thought, posts it. then immediately sees",neutral,1
1025,: people are being displaced from their houses at the epicenter of the coronavirus outbreak in lagos!,neutral,1
1026,fighting stigma : video of homeless child using artwork to elain covid-19 to children goes viral: focus irelands,negative,0
1027,it is all about cognitive reframing,neutral,1
1028,"cancer remains the leading cause of disease-related deaths from ages to . in reality, its an ongoing pandemic",neutral,1
1029,the covid-19 crisis is driving the biggest internet upgrade in years.,neutral,1
103,i would be very worried if anybody i knew was in acare home. this appears b something akin to a death sentence.,negative,0
1030,is the only youtuber/celeb from pakistan who is giving away all his youtube earnings to poor people in t,negative,0
1031,cameroons president -- the oldest ruler in africa -- has been strangely absent during the pandemic. people wonder,neutral,1
1032,coronavirus is disproportionally killing people of color. we need to prioritize funding to combat racial health d,negative,0
1033,all the gays are dying their hair during quarantine and honestly i might be next,neutral,1
1034,the latest the turi mazzeo daily! thanks to,positive,2
1035,i really cant fw a lot of yall after this quarantine,neutral,1
1036,you know why? because sneaked in $90 billion in the stimulus relief package for your,negative,0
1037,"in late february when president trump was urging americans not to panic over the novel coronavirus, alarms were sou",negative,0
1038,th of april wont be the last day of lockdown. this is serious.,negative,0
